Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-09-20,46.9785,47.274,46.0971,46.8259,180198.51565095
2021-09-21,47.0622,49.1945,46.9884,48.5051,323046.09568501
2021-09-22,49.5885,49.5885,48.7513,49.3422,162617.6030699
2021-09-23,49.7362,51.7552,49.0025,51.5582,831810.18959622
2021-09-24,51.6567,51.6665,49.3619,50.4256,557764.22444825
2021-09-27,50.4354,50.9377,48.8646,50.4157,378187.10749782
2021-09-28,49.9332,50.9082,49.2044,49.7362,573552.01594248
2021-09-29,49.2437,50.3468,49.2437,49.5589,118181.5038382
2021-09-30,50.0612,50.2976,49.2634,50.2286,125718.50147545
2021-10-01,50.1695,52.5825,49.3619,52.0802,211231.89781249
2021-10-04,52.0605,52.0605,49.5786,50.1104,588210.73005929
2021-10-05,50.1104,50.8589,49.6869,50.7211,563875.66036077
2021-10-06,50.7211,51.4991,49.2388,49.2388,1103685.3207218
2021-10-07,49.2437,49.7165,47.1164,47.5695,732723.49615359
2021-10-08,47.471,47.9191,46.2891,46.555,492848.3673904
2021-10-11,46.7619,47.7664,46.5895,47.2248,544171.63555293
2021-10-12,46.88,47.5596,46.6338,47.077,130334.31600583
2021-10-13,46.9293,48.6528,46.9293,47.3922,148057.37861641
2021-10-14,48.4657,49.0468,47.466,47.7664,482594.27347437
2021-10-15,48.2392,48.3672,46.3137,46.7816,454474.96691823
2021-10-18,47.2592,47.4759,45.8016,46.4615,354256.15002611
2021-10-19,46.2891,46.7668,45.3042,45.3042,410331.29060443
2021-10-20,44.6247,46.7372,44.536,46.2891,221073.75664287
2021-10-21,45.6982,47.1755,45.6982,46.4861,124238.11045361
2021-10-22,46.5846,46.9835,45.5061,45.6785,86833.360896976
2021-10-25,46.2891,47.4513,45.8213,47.4513,231042.53514248
2021-10-26,47.3725,47.3774,45.8952,46.3876,82041.889544394
2021-10-27,46.2793,46.7619,45.7573,46.4861,261523.56290356
2021-10-28,46.6929,46.8111,46.0921,46.3778,181872.83992736
2021-10-29,46.5846,47.5153,45.8065,46.4861,200185.8251605
2021-11-02,46.7816,48.2589,45.9641,47.3725,408206.14766292
2021-11-03,47.8649,47.8649,46.8062,46.8062,189399.68399108
2021-11-04,47.274,47.7073,46.491,46.7816,173139.75132733
2021-11-05,47.274,47.471,46.235,46.5353,330325.1925544
2021-11-08,46.7717,47.0032,46.4959,46.88,44592.464264188
2021-11-09,46.7816,47.7615,46.5353,47.1755,400543.24571379
2021-11-10,47.1755,47.6532,46.6683,46.8997,97591.072060487
2021-11-12,47.0179,47.0179,46.2891,46.8653,113157.51565159
2021-11-15,46.6141,47.6138,46.2645,47.274,216850.88540842
2021-11-16,47.274,47.274,45.3092,46.5944,180573.1825145
2021-11-17,46.8407,47.86,46.0429,47.274,245074.773772
2021-11-18,47.274,47.274,46.491,47.0081,296062.97400777
2021-11-19,47.1755,47.663,46.0971,47.1115,395136.46780481
2021-11-22,47.7172,47.7664,46.4172,47.077,604210.73124047
2021-11-23,47.077,47.077,46.2054,46.88,401245.87300262
2021-11-24,46.4861,47.5547,44.8364,46.6141,611562.93383934
2021-11-25,46.4319,47.2198,45.8952,46.3876,186687.66449908
2021-11-26,45.4471,45.5505,44.5902,45.2058,250489.67453981
2021-11-29,45.3042,45.7967,44.7675,45.649,349431.17188085
2021-11-30,45.1565,46.5895,43.044,45.974,433489.5611299
2021-12-01,44.9743,46.9785,44.9743,45.8065,430140.91257706
2021-12-02,45.7967,46.7816,45.1664,46.1906,401190.02834816
2021-12-03,46.9785,47.5695,45.7967,46.0921,510870.96042035
2021-12-06,46.2891,46.7766,45.4224,46.3679,226483.58062392
2021-12-07,46.3876,47.6187,46.3876,47.146,247994.94152153
2021-12-08,47.1755,49.2437,47.1755,47.9339,211964.98582193
2021-12-09,48.2687,49.6672,47.8649,47.8649,183216.15770644
2021-12-10,48.2589,49.1108,47.732,48.3278,242333.30891674
2021-12-13,48.6528,50.1892,48.1161,48.2589,431820.31364025
2021-12-14,49.9332,50.6127,46.3285,46.3285,461856.61488036
2021-12-15,46.9391,48.6528,46.3876,47.471,1038108.4660266
2021-12-16,47.4217,48.1308,46.2743,46.88,593338.28469598
2021-12-17,46.8259,48.899,45.3486,45.7671,6251911.6177778
2021-12-20,46.0921,46.5649,45.4027,45.7474,134199.78145175
2021-12-21,46.2891,46.6831,44.6345,44.9989,311358.31718542
2021-12-22,45.0088,45.4224,43.3345,44.1766,314057.13703182
2021-12-23,44.8906,45.3042,44.4179,45.0433,117861.66627175
2021-12-27,45.516,45.516,42.9208,43.8368,175281.13998649
2021-12-28,43.8417,44.536,43.433,44.4573,143740.07914805
2021-12-29,44.3686,45.0531,44.3686,44.8906,57290.523330811
2021-12-30,45.1073,46.166,44.7182,45.8115,116679.79031193
2022-01-03,45.9887,46.235,44.3095,44.3735,322484.60306836
2022-01-04,45.1467,45.7474,44.6001,45.5997,149600.72179418
2022-01-05,45.5505,45.5505,43.7777,45.058,402085.57353422
2022-01-07,44.5163,44.9497,44.28,44.8118,141924.62019946
2022-01-10,44.8118,44.8906,43.9303,44.1027,72878.289426349
